x,psi_deg0,psi_deg1,psi_deg2,psi_deg3,psi_deg4,psi_deg5,psi_deg6,psi_infty
-0.596330275229358,-0.355323143926993,-0.385366001868363,-0.383193028910199,-0.38314072074704,-0.383122547021008,-0.383185706591032,-0.383132584284597,-0.383142577830586
-0.577981651376147,-0.355323143926993,-0.37897859742655,-0.378279357687488,-0.378140060120263,-0.378112499815546,-0.37817966715298,-0.378129016225803,-0.378141451359161
-0.559633027522936,-0.355323143926993,-0.372591192984737,-0.373014483679437,-0.372860556880652,-0.372824343531303,-0.372887271912295,-0.372846204351018,-0.372860357078645
-0.541284403669725,-0.355323143926993,-0.366203788542923,-0.367398406886045,-0.367283012190176,-0.36724223993986,-0.367292618054253,-0.367267552971798,-0.367282368102538
-0.522935779816514,-0.355323143926993,-0.35981638410111,-0.361431127307312,-0.361388227210808,-0.361349307929055,-0.361379639087257,-0.361375513360862,-0.36138976828062
-0.504587155963303,-0.355323143926993,-0.353428979659297,-0.355112644943239,-0.355157003104518,-0.355127623502989,-0.355131991667758,-0.355151599229332,-0.355164087022082
-0.486238532110092,-0.355323143926993,-0.347041575217484,-0.348442959793826,-0.348570141033277,-0.348558219782019,-0.348532942425164,-0.348576447738273,-0.348586154286492
-0.467889908256881,-0.355323143926993,-0.34065417077567,-0.341422071859072,-0.341608442159057,-0.341621087002761,-0.341565254786761,-0.341629926044534,-0.341636179781762
-0.44954128440367,-0.355323143926993,-0.334266766333857,-0.334049981138978,-0.334252707643827,-0.334295172518093,-0.334211075802626,-0.334291283380879,-0.334293860824803
-0.431192660550459,-0.355323143926993,-0.327879361892044,-0.326326687633543,-0.326483738649559,-0.326558380797149,-0.32645182297054,-0.326539348670422,-0.32653852367395
-0.412844036697248,-0.355323143926993,-0.32149195745023,-0.318252191342768,-0.318282336338224,-0.318387573425322,-0.318268071060911,-0.318352773675362,-0.318349303383904
-0.394495412844037,-0.259883798067487,-0.313568238033866,-0.309816083104447,-0.309629317607104,-0.309758570627661,-0.309639438962457,-0.309710321679985,-0.309705367301661
-0.376146788990826,-0.259883798067487,-0.302059783676884,-0.300854129470451,-0.300506716800364,-0.300646680808587,-0.300544508147126,-0.300591201569273,-0.300586187139316
-0.357798165137615,-0.259883798067487,-0.290551329319902,-0.291309658335441,-0.290898631919132,-0.291029293069739,-0.290961101261674,-0.290975444016765,-0.290971864036727
-0.339449541284404,-0.259883798067487,-0.279042874962919,-0.281182669699416,-0.280789360861276,-0.280887222236342,-0.280867080691696,-0.28084430952676,-0.280843510063288
-0.321100917431193,-0.259883798067487,-0.267534420605937,-0.270473163562377,-0.270163201524662,-0.270204754013659,-0.270241259895488,-0.270180721976742,-0.270183688098197
-0.302752293577982,-0.259883798067487,-0.256025966248954,-0.259181139924323,-0.259004451807155,-0.258969644986987,-0.259064316174833,-0.258969726989458,-0.258976909872796
-0.284403669724771,-0.259883798067487,-0.244517511891972,-0.247306598785255,-0.247297409606622,-0.247173122621658,-0.247319703445786,-0.247198975131305,-0.247210189076959
-0.26605504587156,-0.259883798067487,-0.23300905753499,-0.234849540145171,-0.235026372820928,-0.234809885263041,-0.23499456500946,-0.234859229936984,-0.234873642784325
-0.247706422018349,-0.259883798067487,-0.221500603178007,-0.221809964004073,-0.22217563934794,-0.221878102136538,-0.222080646322812,-0.221944900760455,-0.22196113006283
-0.229357798165138,-0.259883798067487,-0.209992148821025,-0.208187870361961,-0.208729507085525,-0.208379413347586,-0.208575207769427,-0.208454600452174,-0.208470911623125
-0.211009174311927,-0.259883798067487,-0.198483694464042,-0.193983259218834,-0.194672273931547,-0.194318929881661,-0.194481937430305,-0.194391727862614,-0.194406308950919
-0.192660550458716,-0.099661458403295,-0.18454821325389,-0.179211264923336,-0.179989027877828,-0.179705237291342,-0.179811863707856,-0.17976507517064,-0.179776335939197
-0.174311926605505,-0.099661458403295,-0.166972191763984,-0.164011880200425,-0.16469557181872,-0.164550930552307,-0.16458419173392,-0.164589457392918,-0.1645962710932
-0.155963302752294,-0.099661458403295,-0.149396170274077,-0.148419157334549,-0.148847608393333,-0.148874662923556,-0.148826458719359,-0.148886315264107,-0.148888134559869
-0.137614678899083,-0.099661458403295,-0.131820148784171,-0.132433096325708,-0.132503506807881,-0.132701996509004,-0.13257387127205,-0.132684162816464,-0.132681032246407
-0.119266055045872,-0.099661458403295,-0.114244127294264,-0.116053697173902,-0.115721636268577,-0.116065420923286,-0.115868499090319,-0.116018811825011,-0.116011329849031
-0.100917431192661,-0.099661458403295,-0.096668105804357,-0.099280959879132,-0.098560365981635,-0.099004353291753,-0.098758467541688,-0.098933367320002,-0.098922623309056
-0.08256880733945,-0.099661458403295,-0.079092084314451,-0.082114884441398,-0.081078065153267,-0.081565138250481,-0.08129715024162,-0.081477994150228,-0.081465479402562
-0.064220183486239,-0.099661458403295,-0.061516062824544,-0.064555470860698,-0.063333102989686,-0.063801047946262,-0.063542361632269,-0.063709454597161,-0.06369693083733
-0.045871559633028,-0.099661458403295,-0.043940041334638,-0.046602719137034,-0.045383848697106,-0.045772282036607,-0.045555549561221,-0.04569041703995,-0.045679723899427
-0.027522935779817,-0.099661458403295,-0.026364019844731,-0.028256629270405,-0.02728867148174,-0.027545967689749,-0.027400987860247,-0.027488535671254,-0.027481332393249
-0.009174311926606,-0.099661458403295,-0.008787998354825,-0.009517201260811,-0.0091059405498,-0.00919615958464,-0.009144968924043,-0.009175301263923,-0.009172767949495
0.009174311926606,0.099661477574613,0.008788023121751,0.009517230356017,0.009105974893171,0.009196196169842,0.009145003711017,0.009175337001546,0.009172767949495
0.027522935779817,0.099661477574613,0.026364044584995,0.028256658365705,0.027288705657071,0.027546004175129,0.027401022788378,0.027488571474234,0.027481332393249
0.045871559633028,0.099661477574613,0.043940066048239,0.046602748232523,0.045383882567235,0.045772318325258,0.045555584754478,0.045690452968664,0.045679723899427
0.064220183486239,0.099661477574613,0.061516087511484,0.064555499956471,0.06333313644967,0.063801083947112,0.063542397183599,0.063709490702226,0.06369693083733
0.08256880733945,0.099661477574613,0.079092108974728,0.082114913537549,0.081078098130384,0.08156517388121,0.081297186202964,0.081478030468125,0.081465479402562
0.100917431192661,0.099661477574613,0.096668130437972,0.099280988975756,0.098560398435383,0.099004388481706,0.098758503917833,0.098933403869297,0.098922623309056
0.119266055045872,0.099661477574613,0.114244151901216,0.116053726271094,0.115721668190676,0.116065455616391,0.115868535836591,0.116018848603385,0.116011329849031
0.137614678899083,0.099661477574613,0.131820173364461,0.132433125423561,0.132503538222269,0.132702030666694,0.132573908295849,0.132684199798741,0.132681032246407
